ID,Predicted
candidate11,0.27914387
candidate13,0.70307016
candidate15,0.48938388
candidate17,0.75622594
candidate22,0.31637177
candidate26,0.64623904
candidate33,0.65891445
candidate40,0.6698686
candidate42,0.48974812
candidate49,0.53216445
candidate56,0.3590258
candidate59,0.6504058
candidate60,0.24168518
candidate68,0.35357428
candidate75,0.5319827
candidate76,0.34712416
candidate77,0.34584606
candidate79,0.29865825
candidate85,0.4033497
candidate99,0.5759374
candidate100,0.31758648
candidate103,0.50052184
candidate107,0.50303006
candidate108,0.67870426
candidate112,0.8853137
candidate116,0.5871078
candidate117,0.24894759
candidate118,0.41882658
candidate128,0.44145066
candidate129,0.40666503
candidate132,0.60279834
candidate137,0.45200545
candidate144,0.5482377
candidate146,0.2389552
candidate149,0.7270875
candidate165,0.79754364
candidate167,0.529513
candidate170,0.47959954
candidate174,0.51504606
candidate178,0.35376465
candidate189,0.62333596
candidate191,0.7202422
candidate194,0.6324434
candidate195,0.6068657
candidate197,0.38865578
candidate201,0.29508078
candidate204,0.70328474
candidate223,0.6448431
candidate239,0.49417675
candidate251,0.25593472
candidate252,0.37714425
candidate259,0.7175628
candidate264,0.6128941
candidate268,0.42807755
candidate274,0.7608156
candidate275,0.66761655
candidate278,0.39099884
candidate284,0.6987953
candidate286,0.8229759
candidate290,0.642299
candidate300,0.5187785
candidate301,0.2637806
candidate302,0.2587971
candidate309,0.45888504
candidate312,0.43877327
candidate329,0.4325896
candidate333,0.47476116
candidate344,0.5301612
candidate346,0.327007
candidate348,0.7568313
candidate354,0.68413174
candidate357,0.4827849
candidate360,0.42995495
candidate363,0.6885771
candidate368,0.8252841
candidate373,0.65428174
candidate384,0.77666533
candidate390,0.4779654
candidate394,0.51683444
candidate396,0.4437388
candidate397,0.3316638
candidate398,0.52360904
candidate402,0.30582476
candidate403,0.2672652
candidate412,0.49483308
candidate424,0.32654467
candidate427,0.30907506
candidate431,0.24460265
candidate439,0.53702897
candidate440,0.50351053
candidate450,0.45896837
candidate451,0.51582634
candidate455,0.72336096
candidate456,0.3033089
candidate458,0.46552712
candidate459,0.28348333
candidate463,0.71458954
candidate466,0.7455119
candidate483,0.79777193
candidate486,0.38634953
candidate489,0.5131066
candidate491,0.5102204
candidate493,0.9215553
candidate498,0.38760287
candidate499,0.5238636
candidate502,0.26688462
candidate509,0.8260328
candidate513,0.78810656
candidate524,0.8566553
candidate530,0.78675526
candidate544,0.6528126
candidate556,0.5949308
candidate563,0.741466
candidate564,0.6274184
candidate565,0.48518506
candidate580,0.6217938
candidate582,0.5106232
