ID,Predicted
candidate11,0.272556185
candidate13,1
candidate15,0.29431003
candidate17,0.41097557
candidate22,0.275217755
candidate26,0.30010451
candidate33,0.525463505
candidate40,0.42686189
candidate42,0.4304395
candidate49,0
candidate56,0.281219495
candidate59,0.31999999
candidate60,0.26834713
candidate68,0.294183345
candidate75,0.29774605
candidate76,0.27604841
candidate77,0.27504161
candidate79,0.274578885
candidate85,0.29341778
candidate99,0.35631663
candidate100,0
candidate103,0.32170427
candidate107,0.318881235
candidate108,0.37255168
candidate112,0.494010575
candidate116,0.287869495
candidate117,0.270958675
candidate118,0.298878325
candidate128,0.45961459
candidate129,0.29743585
candidate132,0.5257316
candidate137,0.28804378
candidate144,0.27605334
candidate146,0.26995082
candidate149,0.66498825
candidate165,0.33291838
candidate167,0.284239385
candidate170,0.27402719
candidate174,0.28989261
candidate178,0.36936292
candidate189,0.330072565
candidate191,0.30697152
candidate194,0.27589496
candidate195,0.403230975
candidate197,0.27906154
candidate201,0.27182643
candidate204,0.80906963
candidate223,0.479377065
candidate239,0.36844838
candidate251,0.268707395
candidate252,0.28418282
candidate259,0.358005675
candidate264,0.2806862
candidate268,0.284323035
candidate274,0.621008615
candidate275,0.300004465
candidate278,0.393888875
candidate284,0.331983505
candidate286,0.444101005
candidate290,0.50632155
candidate300,0.29378894
candidate301,0.269706685
candidate302,0.270198525
candidate309,0.2794946
candidate312,0.2769317
candidate329,0.303840575
candidate333,0.45798102
candidate344,0.42808564
candidate346,0.273324985
candidate348,0.31665614
candidate354,0.30685271
candidate357,0.276918695
candidate360,0.445793165
candidate363,0.282077265
candidate368,0.50912653
candidate373,0.359866215
candidate384,0.40644793
candidate390,0.422094955
candidate394,0.279687625
candidate396,0.276267035
candidate397,0.27496597
candidate398,0.34599724
candidate402,0.26830401
candidate403,0.27149728
candidate412,0.43777874
candidate424,0.272706435
candidate427,0.27279335
candidate431,0.267535285
candidate439,0.296222385
candidate440,0.28009614
candidate450,0.288743
candidate451,0.288811295
candidate455,0.436143685
candidate456,0.26892331
candidate458,0.29428202
candidate459,0.27147418
candidate463,0.32876975
candidate466,0.35577008
candidate483,1
candidate486,0.268197865
candidate489,0.33036694
candidate491,0.33032131
candidate493,0.7272885
candidate498,0.283335475
candidate499,0.295160335
candidate502,0.2698506
candidate509,0.5323142
candidate513,0.49354397
candidate524,0.354497675
candidate530,0.37455398
candidate544,1
candidate556,0.31318991
candidate563,0.50328058
candidate564,0.339923205
candidate565,0.41496694
candidate580,0.2803676
candidate582,0.284480935
